Sal,Ery,Cm,Response
0,0,0,99.9702
0,0,0.15,99.9702
0,0,0.3,98.7877242
0,0,0.45,96.2470674
0,0,0.6,92.9440116
0,0,0.75,89.0522424
0,0,0.9,84.7484748
0,0,1.05,80.1973062
0,0,1.2,75.5411184
0,0,1.35,70.8990678
0,5.5,0,99.8443314
0,5.5,0.15,99.8443314
0,5.5,0.3,98.66334441
0,5.5,0.45,96.12588645
0,5.5,0.6,92.8269894
0,5.5,0.75,88.94012018
0,5.5,0.9,84.64177128
0,5.5,1.05,80.09633288
0,5.5,1.2,75.44600751
0,5.5,1.35,70.80980153
0,11,0,99.6440346
0,11,0.15,99.6440346
0,11,0.3,98.46541678
0,11,0.45,95.93304919
0,11,0.6,92.64077003
0,11,0.75,88.76169822
0,11,0.9,84.4719722
0,11,1.05,79.93565236
0,11,1.2,75.29465596
0,11,1.35,70.66775064
0,16.5,0,99.4492026
0,16.5,0.15,99.4492026
0,16.5,0.3,98.2728893
0,16.5,0.45,95.74547321
0,16.5,0.6,92.45963137
0,16.5,0.75,88.58814423
0,16.5,0.9,84.30680583
0,16.5,1.05,79.77935577
0,16.5,1.2,75.14743382
0,16.5,1.35,70.52957539
0,22,0,99.2755566
0,22,0.15,99.2755566
0,22,0.3,98.10129724
0,22,0.45,95.5782942
0,22,0.6,92.2981897
0,22,0.75,88.43346248
0,22,0.9,84.15959963
0,22,1.05,79.64005484
0,22,1.2,75.01622059
0,22,1.35,70.4064253
0,27.5,0,99.1260666
0,27.5,0.15,99.1260666
0,27.5,0.3,97.95357545
0,27.5,0.45,95.43437157
0,27.5,0.6,92.15920628
0,27.5,0.75,88.3002986
0,27.5,0.9,84.03287137
0,27.5,1.05,79.52013215
0,27.5,1.2,74.90326051
0,27.5,1.35,70.30040669
0.6,0,0,88.45000238
0.6,0,0.15,79.40228331
0.6,0,0.3,77.20389399
0.6,0,0.45,77.05991842
0.6,0,0.6,75.60820768
0.6,0,0.75,74.70364085
0.6,0,0.9,75.46464299
0.6,0,1.05,75.71091186
0.6,0,1.2,69.59228487
0.6,0,1.35,65.59029813
0.6,5.5,0,89.1766253
0.6,5.5,0.15,80.40648448
0.6,5.5,0.3,78.19330173
0.6,5.5,0.45,77.96847368
0.6,5.5,0.6,76.38839268
0.6,5.5,0.75,75.19594708
0.6,5.5,0.9,75.58014528
0.6,5.5,1.05,75.57986757
0.6,5.5,1.2,69.3580346
0.6,5.5,1.35,65.24255809
0.6,11,0,93.70340181
