Ery,Tmp,Cm,Response
0,0,0,99.9702
0,0,0.15,99.9702
0,0,0.3,98.3434122
0,0,0.45,95.3190612
0,0,0.6,91.4333508
0,0,0.75,86.9195448
0,0,0.9,82.0098972
0,0,1.05,76.9083876
0,0,1.2,71.7846624
0,0,1.35,66.7669662
0,0.05,0,99.7175718
0,0.05,0.15,99.7175718
0,0.05,0.3,98.09489495
0,0.05,0.45,95.07818659
0,0.05,0.6,91.20229552
0,0.05,0.75,86.69989606
0,0.05,0.9,81.80265531
0,0.05,1.05,76.71403741
0,0.05,1.2,71.60326004
0,0.05,1.35,66.59824374
0,0.1,0,99.4409262
0,0.1,0.15,99.4409262
0,0.1,0.3,97.82275113
0,0.1,0.45,94.814412
0,0.1,0.6,90.94927377
0,0.1,0.75,86.45936529
0,0.1,0.9,81.57571091
0,0.1,1.05,76.50121032
0,0.1,1.2,71.40461173
0,0.1,1.35,66.4134808
0,0.15,0,99.2164734
0,0.15,0.15,99.2164734
0,0.15,0.3,97.60195079
0,0.15,0.45,94.60040192
0,0.15,0.6,90.74398788
0,0.15,0.75,86.26421378
0,0.15,0.9,81.39158253
0,0.15,1.05,76.32853583
0,0.15,1.2,71.24344102
0,0.15,1.35,66.26357581
0,0.2,0,99.0397188
0,0.2,0.15,99.0397188
0,0.2,0.3,97.42807247
0,0.2,0.45,94.43187087
0,0.2,0.6,90.58232706
0,0.2,0.75,86.11053369
0,0.2,0.9,81.24658306
0,0.2,1.05,76.19255619
0,0.2,1.2,71.11652051
0,0.2,1.35,66.14552694
0,0.25,0,98.9002278
0,0.25,0.15,98.9002278
0,0.25,0.3,97.29085137
0,0.25,0.45,94.29886973
0,0.25,0.6,90.45474774
0,0.25,0.75,85.98925261
0,0.25,0.9,81.13215253
0,0.25,1.05,76.08524394
0,0.25,1.2,71.01635751
0,0.25,1.35,66.05236527
3.5,0,0,85.13479267
3.5,0,0.15,81.92706338
3.5,0,0.3,76.07007591
3.5,0,0.45,74.36078174
3.5,0,0.6,70.63953476
3.5,0,0.75,66.43064612
3.5,0,0.9,65.55961299
3.5,0,1.05,58.71101869
3.5,0,1.2,62.34346122
3.5,0,1.35,59.04017679
3.5,0.05,0,78.27841607
3.5,0.05,0.15,75.06018318
3.5,0.05,0.3,69.53964422
3.5,0.05,0.45,68.04111945
3.5,0.05,0.6,64.46245301
3.5,0.05,0.75,60.91658278
3.5,0.05,0.9,60.36450224
3.5,0.05,1.05,53.97054771
